Diameter,Sadness,Depth,BigSad,d/D,Pain,CWS,What even
11.1228563,14.89931884,0.96195213,0.21415361,0.09394137,0.03951168,12.0312369,3.442940618
5.403288294,1.627885328,0.880454455,0.164674607,0.1648549,0.039606106,21.26094861,2.014095948
8.510912715,7.34663658,0.839423832,0.176914771,0.104462367,0.039614117,13.5627245,4.472298502
9.13702989,8.511034804,1.223568721,0.227695878,0.139318142,0.039648279,13.05072863,3.966203091
6.054806778,3.211543336,0.553906838,0.307620148,0.088456445,0.039883096,11.49004254,1.759245442
7.672411782,6.920086968,0.975580065,0.116321811,0.132907621,0.040061689,15.52317566,2.709754154
5.543014618,3.440896364,0.709390949,0.186693222,0.130052487,0.040101624,15.10790603,1.675069331
12.8622001,13.9126362,1.55109595,0.48203645,0.1237063,0.04028213,15.75639975,4.389327906
5.823413594,6.625570684,0.850376519,0.110066577,0.153375645,0.042072159,19.06788437,6.141386138
6.71262151,7.52195328,0.7272834,0.1317118,0.11693936,0.04215068,19.91724559,8.746593729
8.30658732,10.2747528,1.08966764,0.16481601,0.14063909,0.04255066,14.26801413,4.30046465
4.29279048,2.51690314,0.619049172,0.151424159,0.146938575,0.043177511,14.03143083,3.375482571
9.46950138,12.91014408,1.14441238,0.17184921,0.13035892,0.04348422,21.22377899,3.811729749
